# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr 27 19:38:23 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHKLMN</i> (cf. Bessell 1990 + Bessell & Brett 1988)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  UXmag   BXmag   Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag    Lmag    L'mag   Mmag
0.01471 0.00000 6.47712 0.4000000358 2.1185026169    0.400 -0.771  3.5175  3.833    0  0.000  0.545     0.00     0.00 -1 -4.13e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.697 11.438 10.231 10.261 8.945 7.837 6.306 4.865 4.168 3.922 3.723 3.588 3.644
0.01471 0.00000 6.47712 0.4450701773 2.1764111519    0.445 -0.699  3.5284  3.851    0  0.000  0.545     0.00     0.00 -1 -4.51e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.518 11.139 9.889 9.920 8.601 7.539 6.080 4.717 3.999 3.764 3.583 3.464 3.530
0.01471 0.00000 6.47712 0.4537273943 2.1866638660    0.453 -0.687  3.5304  3.855    0  0.000  0.545     0.00     0.00 -1 -4.58e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.487 11.087 9.829 9.860 8.540 7.486 6.040 4.691 3.970 3.737 3.559 3.443 3.511
0.01471 0.00000 6.47712 0.4899472296 2.2269537449    0.490 -0.634  3.5390  3.870    0  0.000  0.545     0.00     0.00 -1 -4.89e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.355 10.867 9.573 9.604 8.285 7.264 5.876 4.583 3.847 3.623 3.459 3.356 3.434
0.01471 0.00000 6.47712 0.5000000000 2.2374541759    0.500 -0.620  3.5413  3.874    0  0.000  0.545     0.00     0.00 -1 -4.99e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.319 10.808 9.502 9.534 8.214 7.202 5.831 4.552 3.813 3.592 3.431 3.332 3.412
0.01471 0.00000 6.47712 0.5052891970 2.2428410053    0.505 -0.612  3.5428  3.876    0  0.000  0.545     0.00     0.00 -1 -5.04e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.299 10.775 9.463 9.495 8.174 7.167 5.807 4.537 3.795 3.576 3.417 3.320 3.402
0.01471 0.00000 6.47712 0.5258004069 2.2625575066    0.526 -0.581  3.5482  3.884    0  0.000  0.545     0.00     0.00 -1 -5.26e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.222 10.646 9.309 9.342 8.019 7.030 5.711 4.475 3.724 3.511 3.361 3.271 3.358
0.01471 0.00000 6.47712 0.5478065014 2.2818338871    0.547 -0.552  3.5531  3.892    0  0.000  0.545     0.00     0.00 -1 -5.45e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.150 10.530 9.169 9.202 7.876 6.904 5.624 4.416 3.659 3.452 3.308 3.226 3.317
0.01471 0.00000 6.47712 0.5500000119 2.2836582661    0.550 -0.549  3.5535  3.893    0  0.000  0.545     0.00     0.00 -1 -5.46e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.144 10.520 9.157 9.190 7.864 6.893 5.616 4.411 3.653 3.447 3.304 3.222 3.314
0.01471 0.00000 6.47712 0.5539729595 2.2869205475    0.554 -0.544  3.5545  3.895    0  0.000  0.545     0.00     0.00 -1  -5.5e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.130 10.498 9.130 9.163 7.836 6.868 5.600 4.400 3.641 3.436 3.294 3.214 3.307
0.01471 0.00000 6.47712 0.5775119066 2.3051946163    0.577 -0.510  3.5605  3.903    0  0.000  0.545     0.00     0.00 -1 -5.77e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.045 10.361 8.963 8.997 7.667 6.716 5.497 4.333 3.565 3.368 3.234 3.163 3.261
0.01471 0.00000 6.47712 0.6000000238 2.3211214542    0.600 -0.481  3.5657  3.912    0  0.000  0.545     0.00     0.00 -1    -6e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 5.972 10.243 8.819 8.853 7.520 6.585 5.410 4.274 3.501 3.311 3.185 3.120 3.222
0.01471 0.00000 6.47712 0.6194072366 2.3338027000    0.619 -0.455  3.5704  3.919    0  0.000  0.545     0.00     0.00 -1 -6.21e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 5.908 10.140 8.692 8.727 7.392 6.469 5.334 4.224 3.446 3.262 3.143 3.084 3.189
0.01471 0.00000 6.47712 0.6461560726 2.3498532772    0.646 -0.422  3.5766  3.929    0  0.000  0.545     0.00     0.00 -1 -6.49e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 5.825 9.996 8.522 8.557 7.222 6.315 5.236 4.158 3.377 3.201 3.089 3.039 3.147
0.01471 0.00000 6.47712 0.6499999762 2.3520355225    0.650 -0.417  3.5775  3.930    0  0.000  0.545     0.00     0.00 -1 -6.54e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 5.812 9.975 8.497 8.533 7.198 6.292 5.222 4.148 3.366 3.192 3.081 3.032 3.141
0.01471 0.00000 6.47712 0.6711865067 2.3635482788    0.671 -0.389  3.5824  3.936    0  0.000  0.545     0.00     0.00 -1 -6.82e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 5.743 9.858 8.361 8.397 7.064 6.171 5.142 4.092 3.309 3.141 3.037 2.993 3.105
0.01471 0.00000 6.47712 0.6985127926 2.3772180080    0.699 -0.355  3.5886  3.944    0  0.000  0.545     0.00     0.00 -1 -7.17e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 5.657 9.712 8.192 8.228 6.902 6.023 5.044 4.021 3.239 3.079 2.983 2.945 3.061
0.01471 0.00000 6.47712 0.7000000477 2.3779268265    0.700 -0.353  3.5890  3.944    0  0.000  0.545     0.00     0.00 -1 -7.19e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 5.652 9.704 8.183 8.219 6.894 6.015 5.039 4.017 3.235 3.076 2.980 2.942 3.059
0.01471 0.00000 6.47712 0.7425942421 2.3968501091    0.743 -0.251  3.6199  3.992    0  0.000  0.539     0.00     0.00 -1 -8.35e-14      0.00 7.107e-01 2.745e-01 2.625e-03 7.155e-04 6.497e-03 -1.000 1.476e-02 5.398 9.032 7.500 7.536 6.286 5.479 4.736 3.840 3.097 2.975 2.911 2.895 3.021
